phase,model,run,attempts_total,non_submitted_total,category,count,infra_bucket
phase2-agentic,gpt-4.1-nano,2,300,281,auth/access,0,1
phase2-agentic,gpt-4.1-nano,2,300,281,rate-limit,5,1
phase2-agentic,gpt-4.1-nano,2,300,281,server-5xx,0,1
phase2-agentic,gpt-4.1-nano,2,300,281,api-version-unsupported,218,1
phase2-agentic,gpt-4.1-nano,2,300,281,baseline_compile_failed,38,0
phase2-agentic,gpt-4.1-nano,2,300,281,baseline_no_owning_csproj,3,0
phase2-agentic,gpt-4.1-nano,2,300,281,other,17,0
phase2-agentic,gpt-4.1-nano,3,300,278,timeout/connection,0,1
phase2-agentic,gpt-4.1-nano,3,300,278,auth/access,0,1
phase2-agentic,gpt-4.1-nano,3,300,278,rate-limit,14,1
phase2-agentic,gpt-4.1-nano,3,300,278,server-5xx,0,1
phase2-agentic,gpt-4.1-nano,3,300,278,api-version-unsupported,218,1
phase2-agentic,gpt-4.1-nano,3,300,278,baseline_compile_failed,38,0
phase2-agentic,gpt-4.1-nano,3,300,278,baseline_no_owning_csproj,3,0
phase2-agentic,gpt-4.1-nano,3,300,278,other,5,0
phase2-agentic,gpt-5-codex,1,300,245,timeout/connection,0,1
phase2-agentic,gpt-5-codex,1,300,245,auth/access,0,1
phase2-agentic,gpt-5-codex,1,300,245,rate-limit,73,1
phase2-agentic,gpt-5-codex,1,300,245,server-5xx,117,1
phase2-agentic,gpt-5-codex,1,300,245,api-version-unsupported,0,1
phase2-agentic,gpt-5-codex,1,300,245,baseline_compile_failed,0,0
phase2-agentic,gpt-5-codex,1,300,245,baseline_no_owning_csproj,0,0
phase2-agentic,gpt-5-codex,1,300,245,other,55,0
phase2-agentic,gpt-5-codex,2,300,249,timeout/connection,0,1
phase2-agentic,gpt-5-codex,2,300,249,auth/access,0,1
phase2-agentic,gpt-5-codex,2,300,249,rate-limit,94,1
phase2-agentic,gpt-5-codex,2,300,249,server-5xx,99,1
phase2-agentic,gpt-5-codex,2,300,249,api-version-unsupported,0,1
phase2-agentic,gpt-5-codex,2,300,249,baseline_compile_failed,0,0
phase2-agentic,gpt-5-codex,2,300,249,baseline_no_owning_csproj,0,0
