phase,model,run,attempts_total,non_submitted_total,category,count,infra_bucket
phase2-agentic,gpt-4.1-mini,2,300,47,baseline_no_owning_csproj,0,0
phase2-agentic,gpt-4.1-mini,2,300,47,max-turns-exhausted,3,0
phase2-agentic,gpt-4.1-mini,2,300,47,context-length,0,0
phase2-agentic,gpt-4.1-mini,2,300,47,content-filter,0,0
phase2-agentic,gpt-4.1-mini,2,300,47,invalid-prompt,0,0
phase2-agentic,gpt-4.1-mini,2,300,47,adapter-parse-error,0,0
phase2-agentic,gpt-4.1-mini,2,300,47,other,0,0
phase2-agentic,gpt-4.1-mini,3,300,56,timeout/connection,0,1
phase2-agentic,gpt-4.1-mini,3,300,56,auth/access,0,1
phase2-agentic,gpt-4.1-mini,3,300,56,rate-limit,52,1
phase2-agentic,gpt-4.1-mini,3,300,56,server-5xx,0,1
phase2-agentic,gpt-4.1-mini,3,300,56,api-version-unsupported,0,1
phase2-agentic,gpt-4.1-mini,3,300,56,baseline_compile_failed,0,0
phase2-agentic,gpt-4.1-mini,3,300,56,baseline_no_owning_csproj,0,0
phase2-agentic,gpt-4.1-mini,3,300,56,max-turns-exhausted,4,0
phase2-agentic,gpt-4.1-mini,3,300,56,context-length,0,0
phase2-agentic,gpt-4.1-mini,3,300,56,content-filter,0,0
phase2-agentic,gpt-4.1-mini,3,300,56,invalid-prompt,0,0
phase2-agentic,gpt-4.1-mini,3,300,56,adapter-parse-error,0,0
phase2-agentic,gpt-4.1-mini,3,300,56,other,0,0
phase2-agentic,gpt-4.1-nano,1,300,136,timeout/connection,0,1
phase2-agentic,gpt-4.1-nano,1,300,136,auth/access,0,1
phase2-agentic,gpt-4.1-nano,1,300,136,rate-limit,64,1
phase2-agentic,gpt-4.1-nano,1,300,136,server-5xx,0,1
phase2-agentic,gpt-4.1-nano,1,300,136,api-version-unsupported,0,1
phase2-agentic,gpt-4.1-nano,1,300,136,baseline_compile_failed,0,0
phase2-agentic,gpt-4.1-nano,1,300,136,baseline_no_owning_csproj,0,0
phase2-agentic,gpt-4.1-nano,1,300,136,max-turns-exhausted,72,0
phase2-agentic,gpt-4.1-nano,1,300,136,context-length,0,0
phase2-agentic,gpt-4.1-nano,1,300,136,content-filter,0,0
phase2-agentic,gpt-4.1-nano,1,300,136,invalid-prompt,0,0
phase2-agentic,gpt-4.1-nano,1,300,136,adapter-parse-error,0,0
phase2-agentic,gpt-4.1-nano,1,300,136,other,0,0
